Metric,Macro Average,Weighted Average
Precision,0.9908675799086758,0.9979415815032253
Recall,0.9947550034506557,0.9978835978835979
F1-Score,0.9927301123327807,0.9978941042347435
AUC-ROC,0.9977305790633952,0.9990464841116187
