Class,Support,Precision,Recall (Sensitivity),Specificity,F1-Score,NPV,AUC-ROC,AP,TP,FP,FN,TN
RBC,805,1.0,0.9987577639751553,1.0,0.9993784959602238,0.9929078014184397,0.9999911268855368,0.9999984587642372,804,0,1,140
WBC,71,0.9726027397260274,1.0,0.9977116704805492,0.9861111111111112,1.0,0.9994198601218294,0.9859182481430051,71,2,0,872
Platelets,69,1.0,0.9855072463768116,1.0,0.9927007299270073,0.9988597491448119,0.9876414532459797,0.9867327365728901,68,0,1,876
